CustomerID,Gender_x,Age_x,Annual Income (k$)_x,Spending Score (1-100)_x,Gender_y,Age_y,Annual Income (k$)_y,Spending Score (1-100)_y,Sales Amount (k$),Purchase Frequency,Product Category,Date of Last Purchase
15.0,Male,37.0,20.0,13.0,Female,27.0,79.0,55.0,74.47,11.0,Sports,2024-04-09 11:59:39.057203
16.0,Male,22.0,20.0,79.0,Male,69.0,79.0,39.0,44.57,4.0,Clothing,2023-12-22 11:59:39.057204
17.0,Female,35.0,21.0,35.0,Female,50.0,37.0,82.0,39.76,5.0,Sports,2023-11-14 11:59:39.057206
18.0,Male,20.0,21.0,66.0,Female,22.0,50.0,46.0,68.32,6.0,Home & Kitchen,2023-12-03 11:59:39.057208
19.0,Male,52.0,23.0,29.0,Female,55.0,112.0,11.0,71.87,11.0,Electronics,2024-10-26 11:59:39.057210
20.0,Female,35.0,23.0,98.0,Female,69.0,71.84422110552764,32.0,23.32,3.0,Beauty,2024-05-20 11:59:39.057212
21.0,Male,35.0,24.0,35.0,Male,38.0,60.0,57.0,93.99,5.0,Home & Kitchen,2024-03-13 11:59:39.057213
22.0,Male,25.0,24.0,73.0,Female,53.0,66.0,81.0,23.28,1.0,Sports,2024-01-23 11:59:39.057215
23.0,Female,46.0,25.0,5.0,Female,34.0,72.0,48.0,38.45,6.0,Beauty,2023-11-12 11:59:39.057216
24.0,Male,31.0,25.0,73.0,Female,29.0,37.0,82.0,28.8,10.0,Beauty,2024-02-22 11:59:39.057219
25.0,Female,54.0,28.0,14.0,Male,55.0,34.0,68.0,26.81,9.0,Clothing,2024-03-03 11:59:39.057221
26.0,Male,29.0,28.0,82.0,Male,18.0,91.0,8.0,41.43,1.0,Home & Kitchen,2024-09-21 11:59:39.057223
27.0,Female,45.0,28.0,32.0,Male,60.0,83.0,49.0,98.51,12.0,Clothing,2024-10-06 11:59:39.057224
28.0,Male,35.0,28.0,61.0,Female,45.0,48.0,53.0,48.46,11.0,Electronics,2024-02-01 11:59:39.057226
29.0,Female,40.0,29.0,31.0,Female,23.0,92.0,2.0,54.28,3.0,Beauty,2024-04-10 11:59:39.057228
30.0,Female,23.0,29.0,87.0,Female,24.0,107.0,54.0,75.68,6.0,Sports,2024-06-20 11:59:39.057229
31.0,Male,60.0,30.0,4.0,Male,51.0,40.0,94.0,81.6,1.0,Clothing,2024-10-18 11:59:39.057231
32.0,Female,21.0,30.0,73.0,Female,63.0,116.0,42.0,49.53,8.0,Clothing,2023-12-06 11:59:39.057232
33.0,Male,53.0,33.0,4.0,Male,32.0,119.0,57.0,28.38,11.0,Home & Kitchen,2024-02-11 11:59:39.057234
34.0,Male,18.0,33.0,92.0,Female,68.0,49.0,27.0,73.9,1.0,Clothing,2024-09-13 11:59:39.057236
35.0,Female,49.0,33.0,14.0,Female,23.0,75.0,48.0,91.52,1.0,Clothing,2024-09-21 11:59:39.057238
36.0,Female,21.0,33.0,81.0,Male,62.0,82.0,38.0,13.0,4.0,Beauty,2024-05-15 11:59:39.057239
37.0,Female,42.0,34.0,17.0,Female,38.0,34.0,61.0,66.99,1.0,Home & Kitchen,2024-05-02 11:59:39.057241
38.0,Female,30.0,34.0,73.0,Male,22.0,108.0,12.0,88.39,1.0,Electronics,2024-09-12 11:59:39.057242
39.0,Female,36.0,37.0,26.0,Female,32.0,89.0,24.0,42.72,4.0,Electronics,2024-03-05 11:59:39.057244
40.0,Female,20.0,37.0,75.0,Female,41.0,79.0,14.0,76.88,11.0,Home & Kitchen,2024-10-16 11:59:39.057245
41.0,Female,65.0,38.0,35.0,Male,59.0,88.0,36.0,70.97,6.0,Beauty,2024-08-15 11:59:39.057247
42.0,Male,24.0,38.0,92.0,Male,62.0,36.0,15.0,30.98,2.0,Beauty,2024-02-11 11:59:39.057249
43.0,Male,48.0,39.0,36.0,Female,24.0,42.0,72.0,36.78,1.0,Beauty,2023-12-17 11:59:39.057250
44.0,Female,31.0,39.0,61.0,Male,45.0,90.0,78.0,17.8,6.0,Clothing,2024-06-08 11:59:39.057252
45.0,Female,49.0,39.0,28.0,Male,51.0,49.0,89.0,88.2,11.0,Home & Kitchen,2024-10-14 11:59:39.057254
46.0,Female,24.0,39.0,65.0,Female,36.0,32.0,20.0,77.63,7.0,Electronics,2024-11-01 11:59:39.057255
47.0,Female,50.0,40.0,55.0,Male,63.0,34.0,90.0,79.43,3.0,Sports,2024-04-23 11:59:39.057257
48.0,Female,27.0,40.0,47.0,Female,32.0,106.0,58.0,89.47,4.0,Beauty,2024-05-13 11:59:39.057258
49.0,Female,29.0,40.0,42.0,Male,18.0,109.0,52.0,47.03,8.0,Beauty,2024-08-13 11:59:39.057260
50.0,Female,31.0,40.0,42.0,Female,20.0,46.0,24.0,14.85,7.0,Beauty,2024-01-26 11:59:39.057261
51.0,Female,49.0,42.0,52.0,Female,53.0,110.0,99.0,72.71,3.0,Sports,2023-11-11 11:59:39.057263
52.0,Male,33.0,42.0,60.0,Male,47.0,71.0,54.0,69.91,6.0,Clothing,2024-08-18 11:59:39.057265
53.0,Female,31.0,43.0,54.0,Male,67.0,43.0,56.0,68.37,5.0,Sports,2024-08-11 11:59:39.057266
54.0,Male,59.0,43.0,60.0,Male,66.0,119.0,23.0,59.25,3.0,Electronics,2024-08-04 11:59:39.057268
55.0,Female,50.0,43.0,45.0,Female,65.0,100.0,32.0,76.1,11.0,Electronics,2024-08-12 11:59:39.057270
56.0,Male,47.0,43.0,41.0,Female,20.0,113.0,59.0,48.75,6.0,Clothing,2023-12-10 11:59:39.057271
57.0,Female,51.0,44.0,50.0,Male,56.0,74.0,44.0,50.91,12.0,Beauty,2023-11-19 11:59:39.057273
58.0,Male,69.0,44.0,46.0,Female,54.0,54.0,67.0,32.93,12.0,Electronics,2024-06-30 11:59:39.057274
59.0,Female,27.0,46.0,51.0,Female,52.0,79.0,19.0,52.81,7.0,Beauty,2023-12-18 11:59:39.057276
60.0,Male,53.0,46.0,46.0,Female,55.0,92.0,46.0,40.35,7.0,Home & Kitchen,2024-05-17 11:59:39.057278
61.0,Male,70.0,46.0,56.0,Female,64.0,44.0,60.0,13.8,1.0,Clothing,2024-10-20 11:59:39.057279
62.0,Male,19.0,46.0,55.0,Female,51.0,37.0,81.0,14.73,7.0,Electronics,2024-02-28 11:59:39.057281
63.0,Female,67.0,47.0,52.0,Female,37.0,108.0,82.0,41.48,5.0,Beauty,2023-12-17 11:59:39.057283
64.0,Female,54.0,47.0,59.0,Female,45.0,119.0,12.0,36.08,9.0,Home & Kitchen,2023-11-20 11:59:39.057284
65.0,Male,63.0,48.0,51.0,Female,28.0,89.0,62.0,10.64,9.0,Home & Kitchen,2024-04-12 11:59:39.057286
66.0,Male,18.0,48.0,59.0,Male,48.0,108.0,97.0,15.73,12.0,Clothing,2024-10-10 11:59:39.057288
67.0,Female,43.0,48.0,50.0,Female,18.0,110.0,27.0,48.5,11.0,Beauty,2024-07-09 11:59:39.057289
68.0,Female,68.0,48.0,48.0,Male,25.0,73.0,38.0,29.99,12.0,Sports,2024-07-01 11:59:39.057291
69.0,Male,19.0,48.0,59.0,Female,35.0,113.0,1.0,64.78,8.0,Sports,2023-12-12 11:59:39.057293
70.0,Female,32.0,48.0,47.0,Male,59.0,45.0,90.0,60.2,1.0,Sports,2024-06-10 11:59:39.057296
71.0,Male,70.0,49.0,55.0,Male,55.0,117.0,58.0,29.89,10.0,Electronics,2024-05-17 11:59:39.057298
72.0,Female,47.0,49.0,42.0,Male,35.0,109.0,80.0,27.36,2.0,Electronics,2024-08-06 11:59:39.057301
73.0,Female,60.0,50.0,49.0,Female,50.0,67.0,60.0,64.75,7.0,Home & Kitchen,2024-07-03 11:59:39.057304
74.0,Female,60.0,50.0,56.0,Female,20.0,46.0,1.0,64.57,7.0,Electronics,2024-05-05 11:59:39.057306
75.0,Male,59.0,54.0,47.0,Male,26.0,79.0,28.0,17.71,3.0,Home & Kitchen,2024-07-09 11:59:39.057309
76.0,Male,26.0,54.0,54.0,Male,69.0,67.0,39.0,38.71,1.0,Clothing,2024-08-10 11:59:39.057311
77.0,Female,45.0,54.0,53.0,Female,33.0,117.0,15.0,58.23,9.0,Clothing,2024-03-31 11:59:39.057313
78.0,Male,40.0,54.0,48.0,Female,38.0,45.0,99.0,90.41,3.0,Home & Kitchen,2024-03-09 11:59:39.057316
79.0,Female,23.0,54.0,52.0,Female,46.0,96.0,81.0,32.99,10.0,Beauty,2024-04-29 11:59:39.057319
80.0,Female,49.0,54.0,42.0,Female,33.0,54.0,39.0,56.98,11.0,Clothing,2024-01-17 11:59:39.057321
81.0,Male,57.0,54.0,51.0,Female,42.0,34.0,70.0,27.11,9.0,Clothing,2024-08-23 11:59:39.057324
82.0,Male,38.0,54.0,55.0,Female,30.0,80.0,78.0,17.21,12.0,Clothing,2024-04-18 11:59:39.057326
83.0,Male,67.0,54.0,41.0,Female,20.0,86.0,20.0,88.3,12.0,Home & Kitchen,2024-01-17 11:59:39.057329
84.0,Female,46.0,54.0,44.0,Male,27.0,77.0,55.0,41.12,3.0,Beauty,2024-10-26 11:59:39.057333
85.0,Female,21.0,54.0,57.0,Female,45.0,54.0,91.0,85.36,2.0,Clothing,2024-08-10 11:59:39.057336
86.0,Male,48.0,54.0,46.0,Male,21.0,88.0,97.0,32.61,6.0,Clothing,2024-01-08 11:59:39.057338
87.0,Female,55.0,57.0,58.0,Female,38.0,75.0,61.0,75.61,4.0,Home & Kitchen,2024-10-30 11:59:39.057340
88.0,Female,22.0,57.0,55.0,Female,35.0,110.0,12.0,37.12,3.0,Beauty,2023-11-16 11:59:39.057341
89.0,Female,34.0,58.0,60.0,Female,39.0,39.0,87.0,56.52,4.0,Beauty,2024-04-16 11:59:39.057343
90.0,Female,50.0,58.0,46.0,Female,23.0,35.0,64.0,44.62,1.0,Beauty,2024-08-05 11:59:39.057344
91.0,Female,68.0,59.0,55.0,Female,65.0,35.0,98.0,53.39,3.0,Sports,2024-08-17 11:59:39.057346
92.0,Male,18.0,59.0,41.0,Female,42.0,92.0,30.0,88.48,12.0,Home & Kitchen,2024-10-23 11:59:39.057348
93.0,Male,48.0,60.0,49.0,Male,61.0,62.0,70.0,31.6,11.0,Clothing,2024-10-20 11:59:39.057349
94.0,Female,40.0,60.0,40.0,Female,68.0,33.0,98.0,37.52,9.0,Home & Kitchen,2024-05-20 11:59:39.057351
95.0,Female,32.0,60.0,42.0,Female,35.0,96.0,52.0,59.68,3.0,Home & Kitchen,2024-02-14 11:59:39.057353
96.0,Male,24.0,60.0,52.0,Female,42.0,115.0,36.0,10.83,12.0,Clothing,2024-10-31 11:59:39.057354
97.0,Female,47.0,60.0,47.0,Female,54.0,102.0,81.0,54.58,2.0,Sports,2024-10-13 11:59:39.057356
98.0,Female,27.0,60.0,50.0,Male,40.0,103.0,3.0,49.44,7.0,Clothing,2024-10-08 11:59:39.057357
99.0,Male,48.0,61.0,42.0,Female,33.0,57.0,16.0,92.54,10.0,Sports,2024-09-05 11:59:39.057359
100.0,Male,20.0,61.0,49.0,Male,56.0,59.0,35.0,47.09,2.0,Electronics,2024-01-13 11:59:39.057361
101.0,Female,23.0,62.0,41.0,Female,64.0,41.0,86.0,54.42,10.0,Electronics,2023-12-24 11:59:39.057362
102.0,Female,49.0,62.0,48.0,Female,65.0,110.0,6.0,49.61,11.0,Sports,2024-08-18 11:59:39.057364
103.0,Male,67.0,62.0,59.0,Male,50.0,94.0,1.0,17.71,8.0,Clothing,2024-08-15 11:59:39.057365
104.0,Male,26.0,62.0,55.0,Female,37.0,119.0,33.0,31.7,12.0,Electronics,2023-11-23 11:59:39.057367
105.0,Male,49.0,62.0,56.0,Male,68.0,97.0,51.0,84.36,3.0,Beauty,2024-04-21 11:59:39.057369
106.0,Female,21.0,62.0,42.0,Male,51.0,83.0,68.0,23.84,10.0,Beauty,2024-10-19 11:59:39.057371
107.0,Female,66.0,63.0,50.0,Female,21.0,94.0,75.0,89.58,10.0,Home & Kitchen,2024-04-01 11:59:39.057372
108.0,Male,54.0,63.0,46.0,Male,22.0,69.0,91.0,29.21,1.0,Clothing,2024-03-23 11:59:39.057374
109.0,Male,68.0,63.0,43.0,Female,56.0,44.0,51.0,65.15,5.0,Sports,2024-01-16 11:59:39.057376
110.0,Male,66.0,63.0,48.0,Male,21.0,48.0,57.0,83.62,6.0,Sports,2023-11-16 11:59:39.057378
111.0,Male,65.0,63.0,52.0,Male,18.0,84.0,14.0,60.31,12.0,Electronics,2024-05-15 11:59:39.057380
112.0,Female,19.0,63.0,54.0,Female,38.0,102.0,96.0,89.79,12.0,Clothing,2023-11-03 11:59:39.057382
113.0,Female,38.0,64.0,42.0,Male,44.0,84.0,33.0,45.5,7.0,Electronics,2024-06-28 11:59:39.057385
114.0,Male,19.0,64.0,46.0,Female,41.0,40.0,46.0,96.3,1.0,Sports,2024-08-23 11:59:39.057387
115.0,Female,18.0,65.0,48.0,Female,43.0,43.0,37.0,32.48,11.0,Beauty,2024-04-29 11:59:39.057390
116.0,Female,19.0,65.0,50.0,Female,48.0,83.0,97.0,29.8,1.0,Home & Kitchen,2024-02-14 11:59:39.057393
117.0,Female,63.0,65.0,43.0,Female,53.0,38.0,87.0,85.64,8.0,Electronics,2024-07-14 11:59:39.057396
118.0,Female,49.0,65.0,59.0,Male,39.0,42.0,26.0,35.11,2.0,Electronics,2024-02-02 11:59:39.057398
119.0,Female,51.0,67.0,43.0,Female,37.0,83.0,77.0,41.69,6.0,Sports,2024-04-11 11:59:39.057401
120.0,Female,50.0,67.0,57.0,Female,69.0,49.0,11.0,99.52,5.0,Home & Kitchen,2024-09-25 11:59:39.057403
121.0,Male,27.0,67.0,56.0,Female,31.0,33.0,5.0,19.66,11.0,Electronics,2024-08-27 11:59:39.057405
122.0,Female,38.0,67.0,40.0,Male,58.0,87.0,10.0,90.97,3.0,Sports,2024-04-07 11:59:39.057408
123.0,Female,40.0,69.0,58.0,Male,40.0,85.0,34.0,64.91,8.0,Sports,2024-01-17 11:59:39.057410
124.0,Male,39.0,69.0,91.0,Female,36.0,117.0,40.0,81.01,4.0,Beauty,2023-11-30 11:59:39.057414
125.0,Female,23.0,70.0,29.0,Male,21.0,83.0,69.0,74.0,9.0,Beauty,2024-05-06 11:59:39.057416
126.0,Female,31.0,70.0,77.0,Male,62.0,33.0,44.0,79.97,6.0,Beauty,2024-09-13 11:59:39.057419
127.0,Male,43.0,71.0,35.0,Female,54.0,93.0,16.0,56.26,3.0,Beauty,2024-03-26 11:59:39.057423
128.0,Male,40.0,71.0,95.0,Male,64.0,71.0,68.0,51.59,12.0,Home & Kitchen,2024-03-23 11:59:39.057427
129.0,Male,59.0,71.0,11.0,Male,41.0,62.0,32.0,67.09,7.0,Sports,2024-06-29 11:59:39.057429
130.0,Male,38.0,71.0,75.0,Male,53.0,40.0,98.0,34.53,6.0,Beauty,2024-03-05 11:59:39.057432
131.0,Male,47.0,71.0,9.0,Female,24.0,75.0,21.0,11.49,5.0,Beauty,2024-04-20 11:59:39.057434
132.0,Male,39.0,71.0,75.0,Female,38.0,39.0,9.0,65.34,8.0,Clothing,2024-07-09 11:59:39.057437
133.0,Female,25.0,72.0,34.0,Male,28.0,45.0,54.0,74.07,7.0,Electronics,2024-04-13 11:59:39.057439
134.0,Female,31.0,72.0,71.0,Male,20.0,75.0,38.0,25.53,1.0,Sports,2024-07-02 11:59:39.057442
135.0,Male,20.0,73.0,5.0,Male,67.0,118.0,37.0,47.32,5.0,Sports,2023-12-07 11:59:39.057445
136.0,Female,29.0,73.0,88.0,Male,29.0,33.0,67.0,29.63,9.0,Electronics,2024-02-29 11:59:39.057448
137.0,Female,44.0,73.0,7.0,Male,25.0,74.0,18.0,89.18,5.0,Electronics,2024-04-12 11:59:39.057450
138.0,Male,32.0,73.0,73.0,Female,28.0,74.0,74.0,99.74,9.0,Clothing,2024-01-09 11:59:39.057453
139.0,Male,19.0,74.0,10.0,Male,37.0,52.0,67.0,10.58,8.0,Sports,2024-09-27 11:59:39.057456
140.0,Female,35.0,74.0,72.0,Male,46.0,31.0,81.0,58.2,1.0,Clothing,2024-06-25 11:59:39.057458
141.0,Female,57.0,75.0,5.0,Female,25.0,59.0,27.0,48.54,9.0,Beauty,2024-06-13 11:59:39.057461
142.0,Male,32.0,75.0,93.0,Male,69.0,76.0,69.0,14.48,10.0,Beauty,2024-02-06 11:59:39.057464
143.0,Female,28.0,76.0,40.0,Male,69.0,39.0,14.0,44.62,9.0,Home & Kitchen,2024-04-25 11:59:39.057466
144.0,Female,32.0,76.0,87.0,Female,25.0,106.0,53.0,34.52,5.0,Home & Kitchen,2024-01-29 11:59:39.057469
145.0,Male,25.0,77.0,12.0,Male,39.0,48.0,82.0,97.4,11.0,Sports,2024-10-21 11:59:39.057472
146.0,Male,28.0,77.0,97.0,Male,53.0,56.0,70.0,60.82,1.0,Beauty,2023-12-28 11:59:39.057474
147.0,Male,48.0,77.0,36.0,Female,63.0,30.0,52.0,30.66,8.0,Home & Kitchen,2023-12-24 11:59:39.057477
148.0,Female,32.0,77.0,74.0,Female,43.0,56.0,95.0,74.49,7.0,Electronics,2024-03-04 11:59:39.057479
149.0,Female,34.0,78.0,22.0,Female,65.0,114.0,100.0,59.2,12.0,Beauty,2024-07-03 11:59:39.057481
150.0,Male,34.0,78.0,90.0,Male,34.0,116.0,36.0,35.4,2.0,Electronics,2024-06-13 11:59:39.057484
151.0,Male,43.0,78.0,17.0,Female,43.0,45.0,38.0,76.59,7.0,Home & Kitchen,2024-10-12 11:59:39.057487
152.0,Male,39.0,78.0,88.0,Female,43.0,30.0,57.0,91.14,6.0,Sports,2023-12-25 11:59:39.057489
153.0,Female,44.0,78.0,20.0,Male,52.0,67.0,48.0,15.83,8.0,Clothing,2024-05-21 11:59:39.057491
154.0,Female,38.0,78.0,76.0,Female,28.0,77.0,73.0,37.68,1.0,Sports,2024-04-15 11:59:39.057494
155.0,Female,47.0,78.0,16.0,Female,49.0,118.0,81.0,39.46,1.0,Electronics,2023-12-17 11:59:39.057496
156.0,Female,27.0,78.0,89.0,Male,29.0,33.0,18.0,43.59,5.0,Beauty,2024-09-08 11:59:39.057499
157.0,Male,37.0,78.0,1.0,Male,35.0,107.0,21.0,53.22,12.0,Beauty,2024-02-02 11:59:39.057502
158.0,Female,30.0,78.0,78.0,Female,68.0,59.0,16.0,62.39,1.0,Sports,2024-10-08 11:59:39.057505
159.0,Male,34.0,78.0,1.0,Male,64.0,48.0,90.0,22.36,5.0,Home & Kitchen,2024-08-20 11:59:39.057508
160.0,Female,30.0,78.0,73.0,Male,60.0,53.0,16.0,11.39,11.0,Beauty,2023-11-02 11:59:39.057510
161.0,Female,56.0,79.0,35.0,Male,19.0,88.0,49.0,55.44,11.0,Sports,2024-04-15 11:59:39.057513
162.0,Female,29.0,79.0,83.0,Male,25.0,44.0,52.0,43.03,10.0,Electronics,2024-10-19 11:59:39.057515
163.0,Male,19.0,81.0,5.0,Female,31.0,91.0,76.0,67.13,12.0,Beauty,2024-03-31 11:59:39.057518
164.0,Female,31.0,81.0,93.0,Female,58.0,74.0,60.0,83.08,5.0,Electronics,2024-04-14 11:59:39.057521
165.0,Male,50.0,85.0,26.0,Male,61.0,120.0,18.0,88.92,11.0,Electronics,2024-03-25 11:59:39.057523
166.0,Female,36.0,85.0,75.0,Male,48.0,63.0,72.0,23.97,4.0,Home & Kitchen,2024-09-09 11:59:39.057526
167.0,Male,42.0,86.0,20.0,Female,55.0,46.0,86.0,25.91,9.0,Electronics,2023-11-02 11:59:39.057528
168.0,Female,33.0,86.0,95.0,Male,59.0,33.0,39.0,99.21,9.0,Beauty,2024-03-11 11:59:39.057532
169.0,Female,36.0,87.0,27.0,Female,21.0,56.0,46.0,22.2,6.0,Electronics,2023-12-28 11:59:39.057534
170.0,Male,32.0,87.0,63.0,Male,22.0,76.0,81.0,28.59,7.0,Beauty,2024-03-10 11:59:39.057537
171.0,Male,40.0,87.0,13.0,Female,63.0,72.0,61.0,92.36,5.0,Home & Kitchen,2024-08-11 11:59:39.057540
172.0,Male,28.0,87.0,75.0,Male,20.0,90.0,96.0,54.71,4.0,Clothing,2024-08-07 11:59:39.057542
173.0,Male,36.0,87.0,10.0,Male,29.0,67.0,54.0,79.05,2.0,Clothing,2024-05-11 11:59:39.057545
174.0,Male,36.0,87.0,92.0,Male,20.0,67.0,28.0,97.24,10.0,Clothing,2024-03-04 11:59:39.057558
175.0,Female,52.0,88.0,13.0,Male,18.0,100.0,62.0,31.18,6.0,Sports,2024-04-05 11:59:39.057562
176.0,Female,30.0,88.0,86.0,Female,61.0,111.0,63.0,21.89,4.0,Beauty,2024-08-12 11:59:39.057564
177.0,Male,58.0,88.0,15.0,Male,35.0,71.0,89.0,31.03,10.0,Electronics,2024-01-04 11:59:39.057565
178.0,Male,27.0,88.0,69.0,Male,26.0,53.0,65.0,44.61,11.0,Sports,2024-06-09 11:59:39.057567
179.0,Male,59.0,93.0,14.0,Male,25.0,105.0,41.0,64.76,12.0,Electronics,2024-02-18 11:59:39.057569
180.0,Male,35.0,93.0,90.0,Female,52.0,40.0,64.0,21.93,9.0,Electronics,2024-09-05 11:59:39.057571
181.0,Female,37.0,97.0,32.0,Female,68.0,43.0,84.0,54.86,11.0,Clothing,2024-04-27 11:59:39.057572
182.0,Female,32.0,97.0,86.0,Female,44.0,98.0,8.0,92.61,6.0,Beauty,2024-05-09 11:59:39.057574
183.0,Male,46.0,98.0,15.0,Female,64.0,104.0,57.0,65.44,3.0,Electronics,2024-08-20 11:59:39.057575
184.0,Female,29.0,98.0,88.0,Male,44.0,69.0,39.0,12.34,3.0,Beauty,2023-12-16 11:59:39.057577
185.0,Female,41.0,99.0,39.0,Male,47.0,50.0,19.0,63.65,6.0,Beauty,2024-05-02 11:59:39.057578
186.0,Male,30.0,99.0,97.0,Female,53.0,78.0,96.0,54.03,12.0,Beauty,2024-03-04 11:59:39.057580
187.0,Female,54.0,101.0,24.0,Male,59.0,48.0,64.0,37.78,1.0,Sports,2023-12-15 11:59:39.057582
188.0,Male,28.0,101.0,68.0,Male,57.0,46.0,7.0,96.28,10.0,Beauty,2024-02-10 11:59:39.057583
189.0,Female,41.0,103.0,17.0,Male,69.0,58.0,80.0,60.0,1.0,Beauty,2024-10-05 11:59:39.057585
190.0,Female,36.0,103.0,85.0,Male,56.0,70.0,28.0,24.67,10.0,Electronics,2024-07-24 11:59:39.057586
191.0,Female,34.0,103.0,23.0,Female,65.0,95.0,4.0,89.12,3.0,Sports,2024-06-23 11:59:39.057588
192.0,Female,32.0,103.0,69.0,Male,28.0,61.0,46.0,82.83,6.0,Sports,2024-08-03 11:59:39.057590
193.0,Male,33.0,113.0,8.0,Female,45.0,60.0,61.0,76.36,6.0,Home & Kitchen,2024-01-08 11:59:39.057591
194.0,Female,38.0,113.0,91.0,Female,49.0,53.0,51.0,59.14,5.0,Home & Kitchen,2024-05-19 11:59:39.057593
195.0,Female,47.0,120.0,16.0,Male,60.0,67.0,2.0,73.38,11.0,Beauty,2024-06-03 11:59:39.057594
196.0,Female,35.0,120.0,79.0,Male,43.0,77.0,68.0,17.09,5.0,Beauty,2024-04-21 11:59:39.057596
197.0,Female,45.0,126.0,28.0,Female,59.0,83.0,9.0,22.37,6.0,Clothing,2023-12-13 11:59:39.057597
198.0,Male,32.0,126.0,74.0,Male,38.0,114.0,88.0,46.17,8.0,Clothing,2024-10-11 11:59:39.057599
199.0,Male,32.0,137.0,18.0,Female,48.0,35.0,11.0,27.2,7.0,Sports,2024-06-05 11:59:39.057601
200.0,Male,30.0,137.0,83.0,Male,62.0,46.0,88.0,38.48,10.0,Home & Kitchen,2024-01-24 11:59:39.057602
